Id,Public Id,Name,Command,Error Return,Issue Id,Issue Name,Status,Timestamp,Created By Id,Created By Name,Creation Date,Modification Date
94886689-3ee3-45f8-97ff-85d954e75e93,23,[S] Chat log audit: Cursor 115KB SQLite store.db + WAL,dir C:\Users\Lance\.cursor\chats\*\*\store.db + store.db-wal + store.db-shm,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T02:55:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:57:02.716Z,2026-05-06T02:57:02.716Z
97a9c9e5-3408-44aa-bbf5-5f3e00a701af,17,[S] Lint: 96→91→73 — PSScriptAnalyzer progression after fixes,"Invoke-ScriptAnalyzer -Path C:...Hooks -Recurse -Severity Error,Warning,Information",,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T03:18:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:55:56.524Z,2026-05-06T02:55:56.524Z
9e4bdc23-6397-4db2-80e1-122b99976ddc,18,[S] Chat log audit: Gemini Antigravity ~33.8MB protobuf,dir C:\Users\Lance\.gemini\antigravity\conversations\*.pb,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T02:50:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:56:01.803Z,2026-05-06T02:56:01.803Z
a2506fef-67ec-4697-97ec-ebb01e362223,16,[S] GuardRails: added Write-Host ban pattern \bWrite-Host\b,edit GuardRails.ps1: added @{ P='\bWrite-Host\b' M='Use Write-Information instead' } to banned list,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T03:13:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:55:44.951Z,2026-05-06T02:55:44.951Z
ace72c2a-cdad-41cd-b13b-3f8217523f64,10,[S] Fix Tracking.ps1: inlined Get-UtcTimestamp + 2 empty catch blocks,edit Tracking.ps1: inline (Get-Date).ToUniversalTime() + replace 2 catch {},,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T03:04:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:55:07.921Z,2026-05-06T02:55:07.921Z
ad6f6c06-69a3-43d5-b210-d2e9638e42c2,12,[S] Fix lang/ps1.ps1:14: empty catch replaced with Write-Error,"edit lang/ps1.ps1 line 14: catch {} to catch { Write-Error ""ps1 formatter: $_"" }",,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T03:06:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:55:17.124Z,2026-05-06T02:55:17.124Z
b914728f-b297-49c9-a660-b29964584a7c,20,[S] Chat log audit: Copilot 11.3MB JSONL + 5x SQLite session DBs,dir C:\Users\Lance\.copilot\session-state\ + C:\Users\Lance\.copilot\logs\,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T02:52:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:56:13.298Z,2026-05-06T02:56:13.298Z
be08458a-d97b-49c9-b732-29d29ad0fa65,21,[S] Chat log audit: Kilo 31KB prompt-history.jsonl,dir C:\Users\Lance\.local\state\kilo\prompt-history.jsonl,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T02:53:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:56:53.632Z,2026-05-06T02:56:53.632Z
cd11cd2f-51f1-4177-b7e8-ca95bc88a6b4,6,[S] Fix HookRuntime.ps1:51: quoted Write-HookLog string,edit HookRuntime.ps1 line 51: wrapped in double quotes,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T03:00:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:54:42.514Z,2026-05-06T02:54:42.514Z
dd513bfe-567e-432d-ad3b-cf305dcd9375,8,[S] Fix HookRuntime.ps1:134: empty catch replaced with Write-Error,edit HookRuntime.ps1 line 134: catch {} to catch { Write-Error },,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T03:02:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:54:52.946Z,2026-05-06T02:54:52.946Z
dd649430-09c3-4e4d-a5b1-7838a434726a,19,[S] Chat log audit: Cline CLI 14MB + tasks 864KB JSON,dir C:\Users\Lance\.cline\data\logs\ + C:\Users\Lance\.cline\data\tasks\,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T02:51:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:56:07.492Z,2026-05-06T02:56:07.492Z
e8bca297-fb20-4df4-b554-4c79d521d5aa,24,[S] Kilo mirror: /pretool + /posttool + /hook-status + /hooks commands,write .kilo/command/pretool.md posttool.md hook-status.md hooks.md,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T03:20:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:57:07.265Z,2026-05-06T02:57:07.265Z
f21e564a-fb65-4cdc-9c11-92f0fbeae17a,9,[S] Fix HookRuntime.ps1:59-60: empty catch in Write-HookCrash,edit HookRuntime.ps1 lines 59-60: 2 empty catch {} replaced with Write-Error,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T03:03:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:55:03.478Z,2026-05-06T02:55:03.478Z
fcf37e35-342c-4c3b-ac3f-ace241f2a60b,22,[S] Chat log audit: Gemini CLI 1.2MB JSONL sessions,dir C:\Users\Lance\.gemini\tmp\lance\chats\*.jsonl,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T02:54:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:56:58.040Z,2026-05-06T02:56:58.040Z
